Vin(V) Vout(V) Freq(kHz)
19.60 7.60 9.24
19.60 7.80 9.81
20.00 8.00 10.46
20.00 8.20 10.95
20.80 8.20 11.13
20.80 8.60 12.70
20.80 8.80 14.71
21.00 9.00 15.94
21.20 9.40 18.53
21.40 9.60 19.33
21.60 9.80 21.20
21.60 10.00 23.92
21.60 10.00 24.81
21.60 10.40 26.22
21.60 10.60 28.07
21.60 11.20 28.74
21.60 11.60 29.93
21.60 11.80 30.93
21.60 11.60 31.75
21.60 11.80 32.18
21.60 12.00 35.18
21.40 12.20 38.05
21.20 12.40 40.51
20.40 12.20 42.73 
20.20 12.00 45.81
18.80 11.40 50.23
18.40 11.40 51.73
15.20 11.00 58.60
15.20 12.50 97.09
14.80 13.00 125.30
14.80 13.60 248.31
