Freq(Hz) Vin(V) Vout(V) 
46.96 18.40 1.20
51.53 18.40 1.2
83.32 18.40 1.40
106.2 18.40 1.40
154.7 18.40 1.80
245.3 18.40 2.20
279.4 17.60 2.80
351.4 17.60 3.00
442.4 17.60 3.60
509.1 17.60 4.00
564.3 17.60 4.40
635.3 17.60 4.80
712.2 17.60 5.00
823.7 17.60 5.40
907.4 17.60 5.80
1070 17.60 6.40
1170 17.60 6.60
1270 17.60 6.80
1330 17.60 7.00
1440 17.60 7.20
1510 17.60 7.40
1540 17.60 7.40
1590 17.60 7.40
1630 17.60 7.40
1790 17.60 7.80
1860 17.60 7.80
1940 17.60 8.00
2040 17.60 8.20
2150 17.60 8.40
2230 17.60 8.40
2310 17.60 8.40
2440 17.60 8.60
2580 17.60 8.80
2660 17.60 9.00
2780 17.60 9.00



